Account_Owner__c,Amount,Area__c,BigMachines__Line_Items__c,CloseDate,Country__c,CreatedById,CreatedDate,Currency_Rate__c,CurrencyIsoCode,Days_Until_Modified__c,Duration_at_Stage1__c,Duration_at_Stage2__c,Earliest_Delivery_Commence_Date__c,Eligible_for_Fast_Track__c,HasOpportunityLineItem,Id,IsWon,LastModifiedDate,LoB_Services__c,Pricebook2Id,Retail__c,Stage_Change_Date__c,Sub_Area__c,WNC_Region__c
394,1.0,22,1,209,139,547,0,1.0,30,-610.0,0,0,27,0,1,35475,1,765,0,1,0,140,45,0
334,4500.0,22,1,19,139,504,1,1.0,30,-608.0,0,0,77,0,1,35476,1,2312,0,1,0,17,45,0
208,160000.0,4,1,302,25,236,2,1.3443559999999999,2,-514.0,0,41,732,0,1,35477,0,829,0,1,0,309,9,0
4,315900.0,22,2,328,139,3,3,1.0,30,-546.0,0,0,790,0,1,35478,0,923,0,1,0,244,45,0
432,5000.0,13,1,648,13,592,4,1.0,30,-414.0,21,110,1053,0,1,35479,0,137,0,1,0,450,10,0
369,16000.0,22,1,48,139,523,5,1.0,30,-579.0,0,0,438,0,1,35480,1,993,0,1,0,43,45,0
432,35376.0,13,1,357,13,592,6,1.0,30,-506.0,3,0,810,1,1,35481,1,423,0,1,0,269,10,0
7,4260488.0,13,1,405,84,13,7,1.0,30,-512.0,0,58,719,0,1,35482,1,4119,0,1,0,313,25,0
7,,13,0,322,84,13,8,1.0,30,-512.0,0,98,1080,0,0,35483,0,4119,0,2,0,313,25,0
374,2000.0,22,1,59,139,529,9,1.0,30,-602.0,0,0,467,0,1,35484,1,283,0,1,0,52,45,0
67,7350000.0,0,6,640,129,88,10,29.498659999999997,28,-373.0,0,235,298,0,1,35485,0,1024,1,1,0,533,41,1
267,7250.0,0,1,137,5,1,11,1.459546,0,-286.0,0,0,218,1,1,35486,0,608,0,1,0,98,2,1
284,42000.0,0,1,231,56,609,12,1.0,30,-562.0,0,1,498,1,1,35487,1,3822,1,1,0,161,21,1
284,39103.2,0,1,43,56,609,13,1.0,30,-607.0,0,1,77,1,1,35488,0,3822,1,1,0,39,21,1
284,105000.0,0,1,231,56,609,14,1.0,30,-562.0,0,1,467,1,1,35489,1,3822,1,1,0,161,21,1
443,311300.0,0,1,45,131,606,15,32.379551,26,-581.0,27,1,1060,1,1,35490,1,4355,0,1,0,41,42,1
443,311300.0,0,1,45,131,606,16,32.379551,26,-581.0,27,1,673,1,1,35491,1,4355,0,1,0,41,42,1
443,110100.0,0,1,268,131,606,17,32.379551,26,-575.0,32,0,881,1,1,35492,1,74,0,1,0,189,42,1
443,140000.0,0,1,445,131,606,18,32.379551,26,-465.0,6,138,1024,0,1,35493,0,139,0,1,0,352,42,1
421,7200.0,5,1,2,60,582,19,0.8901549999999999,9,-600.0,0,5,77,1,1,35494,1,905,0,1,0,1,24,1
70,730220.0,15,3,441,127,91,20,9.804983,24,-467.0,0,19,670,0,1,35495,1,2464,1,0,1,347,27,1
123,2800.0,21,1,10,60,111,21,0.8901549999999999,9,-595.0,0,0,33,1,1,35496,1,3250,1,0,1,9,23,1
123,720.0,21,1,61,60,111,22,0.8901549999999999,9,-601.0,0,0,9,1,1,35497,1,3433,1,0,1,54,23,1
123,700.0,21,1,25,60,111,23,0.8901549999999999,9,-588.0,0,0,339,1,1,35498,1,3511,1,0,1,23,23,1
86,2964.0,21,1,61,60,111,24,0.8901549999999999,9,-601.0,0,0,19,1,1,35499,1,3539,1,0,1,54,23,1
123,4072.0,21,1,228,60,111,25,0.9048139999999999,9,-567.0,0,0,361,1,1,35500,1,3627,1,0,1,153,23,1
171,115000.0,21,8,331,134,231,26,1.0,30,-155.0,0,179,876,0,1,35501,1,4321,0,0,1,247,43,1
171,77000.0,21,1,567,134,231,27,1.0,30,-61.0,130,37,1061,0,1,35502,0,1338,0,0,1,463,43,1
171,70950.0,21,2,453,134,231,28,1.0,30,-96.0,14,256,778,0,1,35503,0,1637,0,0,1,359,43,1
277,1270543.42,12,2,209,19,276,29,5.202719999999999,1,-505.0,0,0,46,0,1,35504,1,2626,0,0,1,17,7,0
287,30000.0,22,1,376,139,611,30,1.0,30,-497.0,0,0,922,0,1,35505,0,3967,0,1,0,288,45,0
386,233964.0,22,3,43,139,605,31,1.0,30,-607.0,0,0,407,0,1,35506,1,3972,0,1,0,39,45,0
158,193530.0,15,2,537,36,84,32,0.827678,9,-86.0,0,172,999,1,1,35507,1,2417,1,0,1,435,27,1
334,3545.0,22,1,55,139,643,33,1.0,30,-604.0,0,0,604,0,1,35508,1,137,0,1,0,48,45,0
389,1.0,22,1,43,139,561,34,1.0,30,-607.0,0,0,604,0,1,35509,1,2400,0,1,0,39,45,0
334,4676.0,4,1,55,25,566,35,1.299448,2,-604.0,0,0,691,0,1,35510,1,1196,0,1,0,48,9,0
334,18620.0,22,3,601,139,539,36,1.0,30,-422.0,0,0,977,0,1,35511,1,139,0,1,0,494,45,0
352,2500.0,22,1,38,139,504,37,1.0,30,-582.0,0,0,401,0,1,35512,1,2053,1,1,0,35,45,0
426,9240.0,18,1,605,38,596,38,1.0,30,-420.0,0,4,1078,1,1,35513,0,4346,0,1,0,498,37,0
426,12550.0,18,1,605,38,596,39,1.0,30,-420.0,0,96,1022,1,1,35514,0,4395,0,1,0,498,37,0
334,70000.0,22,1,275,139,504,40,1.0,30,-572.0,0,0,501,0,1,35515,1,2053,1,1,0,195,45,0
371,700000.0,22,1,420,139,526,41,1.0,30,-476.0,0,0,1053,0,1,35516,1,3070,0,1,0,327,45,0
371,575000.0,22,5,582,139,526,42,1.0,30,-402.0,0,0,157,0,1,35517,1,930,0,1,0,478,45,0
86,1061.0,21,1,59,60,111,43,0.8901549999999999,9,-602.0,0,0,22,1,1,35518,1,3539,1,0,1,52,23,1
401,31410.0,13,1,228,84,564,44,1.0,30,-567.0,0,29,461,1,1,35519,1,3538,0,1,0,153,25,0
229,1058.97,17,2,43,25,271,45,1.3307229999999999,2,-607.0,0,0,73,1,1,35520,1,3613,1,0,1,39,9,0
0,1600.0,22,1,48,139,0,46,1.0,30,-579.0,0,0,508,0,1,35521,1,3757,0,1,0,43,45,0
334,42000.0,22,1,265,139,530,47,1.0,30,-539.0,0,69,977,0,1,35522,0,461,0,1,0,205,45,0
229,2567.5,17,1,55,25,271,48,1.299448,2,-604.0,0,0,73,1,1,35523,1,3613,1,0,1,48,9,0
277,1188786.12,12,1,209,19,276,49,4.230468,1,-608.0,0,0,398,1,1,35524,1,4350,0,0,1,17,7,0
354,20000.0,22,1,225,139,324,50,1.0,30,-526.0,0,0,598,0,1,35525,1,3975,0,1,0,151,45,0
351,20500.0,22,2,349,139,503,51,1.0,30,-518.0,0,0,700,0,1,35526,0,364,0,1,0,261,45,0
426,30000.0,18,1,646,38,596,52,1.0,30,-370.0,0,4,393,1,1,35527,0,4392,0,1,0,539,37,0
378,4680.0,22,1,231,139,550,53,1.0,30,-565.0,43,0,555,0,1,35528,0,2041,1,1,0,156,45,0
